expense_id,user_id,category_id,month,year,amount
1,11,1,Mar,2023,171.71
2,16,2,Jul,2023,946.83
3,11,2,Sep,2023,933.28
4,19,2,Feb,2024,466.44
5,8,2,Nov,2023,941.45
6,1,2,Nov,2023,693.14
7,2,5,Jan,2023,432.45
8,1,2,Jan,2023,113.85
9,20,6,Jan,2024,301.09
10,19,6,Oct,2023,731.19
11,7,5,Mar,2024,317.47
12,6,6,Mar,2023,692.47
13,1,6,Sep,2024,39.9
14,15,4,Apr,2023,59.63
15,7,2,Sep,2023,517.59
16,18,3,Nov,2024,656.68
17,20,2,Oct,2023,79.93
18,19,3,Nov,2023,892.39
19,1,1,Jun,2023,332.14
20,1,2,Aug,2023,662.75
21,4,4,Dec,2024,223.18
22,17,3,Feb,2024,621.59
23,10,6,Jun,2024,400.09
24,18,1,Jan,2023,308.13
25,18,6,Mar,2023,449.85
26,9,1,Mar,2023,438.64
27,6,4,Jan,2024,850.7
28,3,5,Apr,2024,105.19
29,11,5,Aug,2024,819.85
30,3,2,Mar,2023,82.93
31,14,6,Sep,2023,231.81
32,18,3,Jan,2024,798.37
33,16,3,Mar,2024,784.57
34,1,1,Jul,2023,523.6
35,18,5,Jun,2023,939.62
36,12,2,May,2024,494.89
37,12,2,Nov,2023,591.38
38,4,4,Mar,2023,427.6
39,2,3,Jan,2023,477.81
40,19,3,Jan,2023,402.92
41,13,6,Aug,2023,284.18
42,10,5,Aug,2023,620.93
43,18,5,Aug,2024,293.42
44,20,3,Oct,2024,937.86
45,18,3,Aug,2023,480.5
46,9,1,Mar,2023,596.31
47,7,1,Aug,2024,310.98
48,2,6,Sep,2024,567.54
49,4,4,Jun,2023,351.4
50,12,4,Sep,2024,195.9
51,6,5,Mar,2023,62.2
52,6,3,May,2023,134.17
53,14,2,Jun,2024,310.2
54,17,6,Sep,2024,534.57
55,18,4,Mar,2023,675.41
56,17,5,Jul,2023,178.45
57,4,6,Feb,2024,581.43
58,3,4,Dec,2024,277.79
59,10,3,Oct,2023,12.71
60,19,1,Sep,2023,131.83
61,9,6,Aug,2024,198.36
62,10,3,Jan,2023,677.55
63,12,5,Oct,2024,665.62
64,10,3,Aug,2024,921.82
65,14,1,Jan,2024,681.02
66,13,5,Feb,2023,609.85
67,13,6,Mar,2024,922.68
68,11,4,Oct,2024,41.71
69,15,3,May,2024,32.42
70,9,4,Mar,2024,543.64
71,3,3,Oct,2023,218.19
72,2,5,Feb,2024,57.67
73,6,3,Feb,2023,813.85
74,9,4,Jan,2024,542.55
75,16,6,Oct,2023,854.13
76,20,6,Sep,2023,720.74
77,13,1,Jan,2023,344.28
78,17,4,May,2024,151.36
79,10,4,Jun,2023,178.92
80,8,6,Sep,2024,429.92
81,4,5,Jan,2023,505.41
82,12,6,Sep,2024,584.25
83,14,2,Jan,2024,153.97
84,7,5,May,2023,650.2
85,9,2,Mar,2024,673.13
86,1,1,Feb,2023,198.46
87,17,3,Sep,2024,256.23
88,8,3,Apr,2024,848.49
89,9,4,Dec,2024,636.53
90,11,4,May,2023,484.48
91,20,4,Aug,2023,490.97
92,3,2,Feb,2023,956.74
93,5,6,Apr,2023,179.55
94,3,1,Oct,2023,256.92
95,11,6,Nov,2023,377.94
96,2,3,Aug,2023,496.9
97,18,2,Oct,2023,813.39
98,10,5,Feb,2023,612.19
99,7,6,Jul,2023,166.29
100,7,1,Apr,2024,120.86
101,9,1,Nov,2023,383.48
102,12,2,Jun,2024,626.1
103,18,3,Oct,2024,562.92
104,20,2,Jan,2023,497.46
105,7,1,Oct,2023,214.65
106,16,4,Dec,2023,755.39
107,2,2,Jun,2024,919.42
108,5,3,Feb,2023,535.41
109,19,5,Jul,2023,29.69
110,5,6,Dec,2024,984.44
111,17,1,Mar,2024,533.09
112,6,2,Nov,2024,292.2
113,14,5,Feb,2023,479.7
114,10,3,Nov,2024,445.58
115,18,4,Jun,2023,186.79
116,18,3,Jul,2024,504.85
117,3,1,May,2024,69.82
118,9,1,Apr,2023,927.68
119,5,2,Jun,2023,771.57
120,1,5,Nov,2023,353.8
121,3,4,Jun,2023,429.08
122,11,6,Oct,2024,361.75
